frame_num,visible,x,y
C0024_000000,1,0.6171875,0.4703125
C0024_000001,1,0.6088541666666667,0.45625
C0024_000002,1,0.6010416666666667,0.440625
C0024_000003,1,0.5921875,0.4270833333333333
C0024_000004,1,0.5848958333333333,0.4161458333333333
C0024_000005,1,0.5770833333333333,0.40625
C0024_000006,1,0.5703125,0.3984375
C0024_000007,1,0.5635416666666667,0.3927083333333333
C0024_000008,1,0.5572916666666666,0.3885416666666667
C0024_000009,1,0.5505208333333333,0.3848958333333333
C0024_000010,1,0.5442708333333334,0.3828125
C0024_000011,1,0.5385416666666667,0.38125
C0024_000012,1,0.5328125,0.38177083333333334
C0024_000013,1,0.5276041666666667,0.38229166666666664
C0024_000014,1,0.521875,0.38333333333333336
C0024_000015,1,0.5171875,0.3859375
C0024_000016,1,0.5119791666666667,0.3890625
C0024_000017,1,0.5078125,0.39375
C0024_000018,1,0.5041666666666667,0.3984375
C0024_000019,1,0.49947916666666664,0.4036458333333333
C0024_000020,1,0.4953125,0.4119791666666667
C0024_000021,1,0.49166666666666664,0.4197916666666667
C0024_000022,1,0.48802083333333335,0.4276041666666667
C0024_000023,1,0.48385416666666664,0.43645833333333334
C0024_000024,1,0.48072916666666665,0.44427083333333334
C0024_000025,1,0.47708333333333336,0.43333333333333335
C0024_000026,1,0.4739583333333333,0.4203125
C0024_000027,1,0.4708333333333333,0.40729166666666666
C0024_000028,1,0.4671875,0.39739583333333334
C0024_000029,1,0.4640625,0.38958333333333334
C0024_000030,1,0.46145833333333336,0.3802083333333333
C0024_000031,1,0.45729166666666665,0.3723958333333333
C0024_000032,1,0.4552083333333333,0.36666666666666664
C0024_000033,1,0.45208333333333334,0.359375
C0024_000034,1,0.4484375,0.3546875
C0024_000035,1,0.446875,0.3515625
C0024_000036,1,0.44895833333333335,0.3463541666666667
C0024_000037,1,0.45260416666666664,0.34010416666666665
C0024_000038,1,0.45729166666666665,0.334375
C0024_000039,1,0.46145833333333336,0.32916666666666666
C0024_000040,1,0.465625,0.32708333333333334
C0024_000041,1,0.46979166666666666,0.325
C0024_000042,1,0.475,0.321875
C0024_000043,1,0.4791666666666667,0.32135416666666666
C0024_000044,1,0.484375,0.321875
C0024_000045,1,0.4895833333333333,0.3229166666666667
C0024_000046,1,0.4947916666666667,0.3255208333333333
C0024_000047,1,0.49947916666666664,0.328125
C0024_000048,1,0.5046875,0.3328125
C0024_000049,1,0.5104166666666666,0.3385416666666667
C0024_000050,1,0.5145833333333333,0.34270833333333334
C0024_000051,1,0.5208333333333334,0.353125
C0024_000052,1,0.5265625,0.36041666666666666
C0024_000053,1,0.5328125,0.3729166666666667
C0024_000054,1,0.5385416666666667,0.38229166666666664
C0024_000055,1,0.5442708333333334,0.3963541666666667
